,person,location,date,organization
FBI_10,"['Ahmed Doha', 'Abu Ayyash', 'Ayyash', 'Doha', 'Ayyash']","['Columbia', 'MO', 'Doha', 'Ayyash', 'Doha', 'Doha', 'Doha', 'the Mid States', 'Doha', 'Mid States', 'Doha', 'Doha', 'Columbia', 'USA', 'Wali Shakur', 'Clifton', 'Columbia', 'MO', 'Doha']","['July, 2001', '10 October, 2003', '12 September, 2003', '1 November, 2003', '12th', '20 November, 2003', '3 November, 2003', 'today']","['the University of Missouri', 'Central Farmers Auto Insurance Co.', 'the Mid States Insurance Company', 'Central Farmers', 'Ayyash', ""Central Farmer's Insurance Company"", 'Central Farmers', 'the Columbia First State Bank', 'Dell', 'the Encyclopedia of Jihad', 'AOL', 'Paulson Ave', 'NJ', 'Hamas', 'Al Qaeda']"
FBI_11,"['J. T.', 'A. H.', 'Adnan Hijazi', 'Hijazi', 'M. M. One', 'Martha Mason', 'Mounir Mzoudi', 'Mzoudi', 'Mzoudi']","['Detroit', 'Newark', 'Laurel', 'MD', 'Detroit', 'Newark', 'Laurel', 'MD', 'Laurel', 'MD', 'Baltimore', 'North America', 'Baltimore']","['21 January, 2002', '1994', '2116 27th', 'June 20 to July 2, 2000']","['FBI', 'NJ', 'J.T.', 'FBI', 'FBI', 'Baltimore City College', 'FBI', 'ICNA', 'ICNA', 'Taliban']"
FBI_12,"['Walter Smith', 'Harrah']","['Kansas City', 'Missouri', 'Kansas City Area', 'Jamal al Quso', 'Chicago', 'Kansas City', 'Kansas City', 'the Isle of Capri Casino']","['2111', '22 December, 2003']","['Troost Ave', 'FBI', 'RDX', 'the Argosy Riverside Casino']"
FBI_13,"['Fielder Rd', 'Saeed al Nami', 'Riyad al Taifi', 'Ruth Tucker', 'A. Doman']","['Arlington', 'Texas', 'Arlington', 'Grand Prairie', 'Texas', 'Texas', 'USA', 'Mexico', 'Presidio', 'Texas', 'Mexico', 'Central America', 'Columbia', 'Dallas', 'Arlington', 'Columbia', 'MO']","['26 December, 2003 two', '2727', 'three months']","['the FirstTex Bank', 'the University of Texas']"
FBI_14,"['Clifton NJ', 'Shakur', 'Shakur', 'Ahmed Doha', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'Shakur']","['Wali Shakur', 'New Brunswick', 'Pakistan', 'Beirut', 'Lebanon', 'USA', 'Abu Ayyash', 'Doha', 'Doha']","['27 November, 2003', '1970', '1965', 'two years', '1990', '1993', '3 November, 2003', '2001', '2 January, 2004']","['FBI', 'Paulson Ave', 'NJ', 'Shakur attended', 'Rutgers University', 'the American University', 'the University of Missouri', 'Western Union', 'FBI']"
FBI_15,"['Jamal al Shibh', ""al Shibh's""]","['Miami', 'Florida', 'America', 'Miami', 'America', 'Miami', 'America', 'Miami']","['the past ten years', '2 February, 2004']","['the University of Miami', 'Coral Gables']"
FBI_16,['Adnan Hijazi'],"['Madrid', 'Spain', 'Cairo', 'Egypt', 'Paris', 'France']","['the last three months', '2003', 'December, 2003']",[]
FBI_17,"['Jamal al Shibh', 'Muhammed Dandani', 'Dandani']",['Miami Beach'],[],['the University of Miami']
FBI_18,['Abdul al Nami'],"['Detroit', 'Detroit', 'USA']","['5 March', 'seven years', 'ten years', '1969']","['DIA', 'FBI', 'Detroit Utilities Co.', 'the USA of Saudi']"
FBI_19,"['Saeed al Nami', 'Riyad al Taifi', 'Stockton', 'Aryan Militia', 'Billy Jack Hawkins', 'Slade Goodman']","['Arlington', 'Texas', 'Buenos Aires', 'Argentina', 'Buenos Aires', 'Buenos Aires', 'Calamar', 'Columbia', 'USA', 'USA', 'Calamar', 'Cartagena', 'Columbia', 'Guane', 'Cuba', 'Guane', 'Cuba', 'Chetumal', 'Mexico', 'Mexico City', 'Ojinaga', 'Presidio', 'Texas', 'Ojinaga', 'Texas', 'U.S.', 'San Antonio', 'Dallas', 'Grand Prairie', 'Texas', 'Texas', 'Euless', 'Texas', 'Houston', 'Texas']","['26 December, 2003', '2 January, 2004', 'January of 2001', 'April of 2002', 'May, 2002', 'January, 2003', '2727', '1212']",['FBI']
FBI_20,"['Abdul al Nami', 'al Nami']","['USA', 'Saudi Arabia', 'Ann Arbor', 'U.S.', 'Detroit', 'Riyadh']","['8, March', '2004', '1994', 'MA 1996', '1997', '1999', 'April of 2000', ""six-months'"", 'January, 2001']","['the Detroit Utilities Co.', 'FBI', 'the University of Michigan', 'the Detroit Utilities Co.', 'the Detroit Utilities Co']"
FBI_21,"['Imad Dahdah', 'Baker']","['Nassau', 'Bahamas', 'Dahdah', 'Syria', 'UK', 'Afghanistan', 'UK', 'Bahamas', 'Tampa', 'Middle Eastern Charities']","['1964', '1994', '1998', '1999 - 2000', 'March of 2000', 'June of 2000']","['Al Qaeda', 'the Gulf Shores Bank']"
FBI_22,"['Raeed Beandali', 'Beandali', 'Reginald Cooper', 'Cooper', 'Mum', 'Ralph Bean', 'Reginald Cooper', 'Mahmud al-Dahab', 'Ralph Bean', 'al Dahab', 'a Ralph Bean', 'Heathrow']","['Afghanistan', 'London', 'London', 'London', 'London', 'London']","['15 Feb. 2003', '12 December, 2002', '10 February, 2004', 'about 15 years', '16 March, 2004']","['Al Qaeda', 'CIA', 'Hackney', 'Detroit MI']"
FBI_23,"['Rifai Qasim', 'Omar', 'Qasim', 'Muhammed Mustafa', 'Abdul al Nami', 'Hayes Ave', 'Hayes Ave', 'Howard Clark', 'Clark']","['NC', 'River Rouge Park', 'Detroit', 'Detroit', 'Detroit', 'Detroit']","['25 October,', '2003', 'four weeks', '23 October, 2003', '1997', '1997', '15 December, 2003', 'March, 2004', '15 May, 2004', '20 May, 2004', 'just a few days earlier', 'two months']","['BailOut', 'Charlotte NC', 'FBI', 'Qasim/', 'FBI', 'the Carolina First Bank', 'Toyota', 'Toyota', 'FBI', 'DIA', 'Neighbors']"
FBI_24,['Adnan Hijazi'],"['Madrid', 'Cairo', 'Cairo', 'Cairo', 'Paris', 'France', 'Paris']","['December, 2003', 'three-day', 'December, 2003', 'January, 2004', 'daily']","['Ramses St.', 'Overseas Exports Inc']"
FBI_25,"['Khalid Shamrani', 'Billy Jack Hawkins', 'Slade Goodman', 'Shamrani', 'Walter Smith', 'al Quso']","['Texas', 'Middle Easterner', 'Houston', 'Houston', 'Kansas City']","['20 November, 2003', 'at least several months']","['FBI', 'FBI', 'GAM', 'the Westerner Motel']"
FBI_26,"['Abdul Nasser', 'Ali al-Omari']",['Carrizo Springs'],"['3 August, 2004', '11 August, 2004']","['FBI', 'TX']"
FBI_27,"['Adnan Hijazi', 'Hijazi']",['Newark'],"['the period 20 August to 18 September, 2004']","['the Jersey National Bank', 'NJ']"
FBI_28,"['Pieter Dopple', 'Hoveniersstraat', 'Adnan Hijazi', 'Hijazi', 'Ramundo Ortiz', 'Ortiz']","['Antwerp', 'Belgium', 'Africa', 'Panama City', 'Panama', 'Peshawar', 'Pakistan']","['1 September', '12 July, 2004', '25 September']","['FBI', 'USCBP', 'Dopple', 'Dopple', 'Dopple', 'Dopple']"
FBI_29,[],"['SCADA', 'U.S.', 'SCADA', 'SCADA', 'SCADA']",[],"['Supervisory Control', 'Data Acquisition']"
FBI_30,['Adnan Hijazi'],"['Reston', 'VA']","['14 September, 2004', '1721']",['the American Islamic Scholarship Fund']
FBI_31,"['Satam', 'Ronald] Derwish', 'Abdul al Nami', 'Rifai Qasim', 'Raeed Beandali', 'Ralph', ""al Nami's"", 'al Nami']","['Detroit', 'Windsor', 'Ontario', 'Detroit', 'Canada']","['11 October, 2004', 'week', '20 October, 2004']","['FBI', 'RCMP', 'Detroit Utilities Co.', 'Detroit Utilities']"
FBI_32,"['Khalid Shamrani', 'Shamrani', 'Shamrani', 'Shamrani', 'Shamrani']","['Bellaire', 'Texas', 'Saudi Arabia', 'USA']","['nearly a month', '18 September, 2004', 'month', 'the past month']","['Aryan Militia', 'TexEast Petroleum Co.']"
FBI_33,[],"['Bellaire', 'Texas', 'Houston']","['3236', '4618', '15 October, 2004', 'the next day']","['Pine St.', 'StoreAll', 'C-4 and Semtex', 'StoreAll Rental', 'RentAll']"
FBI_34,"['Ronald] Derwish', 'Abdul', 'Abdul al Nami', 'Abdul', 'Ali']","['Satam', 'Windsor', 'Ontario', 'Windsor', 'Windsor', 'Marrakech', 'Morocco', 'Detroit', 'Detroit']","['25 October', '1 July, 2003', '5 March', '2004', '18 July, 2004']","['RCMP', 'Derwish', 'Canada Eastern Airlines', 'RCMP', 'DIA', 'Derwish', 'Derwish']"
FBI_35,"['Abdul Karim', 'Adnan Hijazi', 'Hijazi', 'Wali Shakur', 'CLifton', 'Hamza al Midhar', 'Pitkin Ave', 'Mounir Mzoudi', 'Mamoun Zammar', 'Charles Ave', 'Said Khadr', 'Broward Blvd', 'Muhammed Dandani', 'Hijazi', 'Karim', 'Hijazi']","['Reston VA', 'Karim', 'Karim', 'Karim', 'Karim', 'Hijazi', 'Karim', 'Brooklyn', 'NY', 'St. Laurel', 'MD', 'Potomac', 'MD', 'Fort Lauderdale', 'St.', 'Miami Beach', 'Karim']","['29 October, 2004', '1721', '1991', '14 September, 2004', '1641', '2116', '1621', '6132', '17 September, 2004', '1999', '2001']","['the American Islamic Scholarship Fund', 'Fund', 'Karim', 'Paulson Ave', 'NJ', 'FL', 'FL']"
FBI_36,"['Abdul al Nami', 'al Nami', 'Satam', 'Ronald] Derwish', 'al Nami', 'Khaled Jehani', 'al Nami', 'al Nami', 'al Nami', 'al Nami', 'al Nami']","['Detroit', 'Detroit', 'Windsor, Ontario', 'Detroit', 'Marrakech', 'Morocco']","['27 October, 2004', '5 March', '2004']","['DIA', 'Detroit Utilities Co.']"
FBI_37,['Ramon'],"['Houston', 'Texas', 'Victoria', 'Cartagena', 'Columbia', 'Guane', 'Cuba', 'Chetumal', 'Mexico', 'Mexico', 'Victoria']","['1 December, 2004']","['Gulfgate', 'TX', 'FARC', 'TX']"
FBI_38,"['Juan', 'Ciudad Madero', 'Ciudad Acuna']","['Houston', 'USA', 'Cartagena', 'Columbia', 'Guane', 'Cuba', 'Mexico', 'Mexico', 'Victoria']","['3 December, 2004']","['Farmers Branch', 'TX', 'TX', 'FMD', 'FARC']"
FBI_39,[],"['US', 'Plum Island', 'Long Island', 'Plum Island', 'Plum Island', 'Plum Island']","['6 December, 2004', '1 December, 2004']",[]
FBI_40,"['Said Khadr', 'Muhammed Dandani', 'Khadr', 'Dandani']","['Middle Eastern', 'Miami', 'Nassau', 'Bahamas', 'Nassau', 'Miami', 'Miami', 'Nassau', 'Nassau', 'Miami', 'U.S.']","['29 November, 2004', 'just a month', '15 November, 2004', '21 November, 2004', '13 December, 2004', '19 December, 2004', '20 September, 2004']",['the Majestic Lines']
FBI_41,"['Wali Shakur', 'Hamza al Midhar', 'Mounir Mzoudi', 'Mamoun Zammar', 'Baltimore']","['New York City', 'Baltimore', 'MD', 'NYC', 'NYC', 'Nassau', 'NYC', 'Nassau', 'NYC', 'Nassau', 'Baltimore', 'Baltimore', 'Baltimore']","['13 December, 2004', '20 September, 2004', '14 November, 2004', '21 November, 2004', '12 December, 2004', '19 December, 2004', '18 December, 2004', '21 September, 2004', '7 November, 2004', '14 November, 2004', '12 December, 2004', '19 December, 2004', '17 December, 2004']","['FBI', 'the Royal Norwegian Lines', 'the Sea Aire Lines', 'Royal Norwegian Lines']"
FBI_docs.txt,"['Surete', 'Abdillah Zinedine', 'Abu Hafs', 'Surete', 'Mehdi Rafiki', 'Rue Durocher', 'Patrick', 'Mehdi Rafiki', 'Riyad Yasser', 'Yasser', 'Semtex', 'Omar Mahmoud Othman', 'Salafi', 'Yasser', 'Yasser', 'Abu Somad', 'Buckthorn St', 'Yazid Bafaba', 'Somad', 'Bafaba', 'Riduan Sungkar', 'Omar Evertts', 'Somad', 'Bafaba', 'Somad', 'Somad', 'Bafaba', 'Abu Hafs', 'Mehdi Rafiki', 'Rifai Qasim', 'Rifai Qasim', 'Omar Blakely', 'Omar Blakely', 'Muhammed Mustafa', 'Mustafa', 'Rifai Qasim', 'Abdul Murad', 'Khalid S.', ""Jamal al Quso's"", 'Augustin Dominique', 'Abdal al Hawsawi', 'Abdul Ahmed Nasser', 'Hawsawi', 'Ferry St, Buffalo', 'Mousa Salah', 'London Heathrow', 'Shadi abu Hoshar', 'Salah', 'Salah', 'Salah', 'Mousa Salah', 'Virginia DOT', 'April Stevens', 'Ms Stevens', 'Salah', 'J. T.', 'Khalid Shamrani', 'Shamrani', 'Shamrani', 'Shamrani', 'Shamrani', 'Ahmed Doha', 'Abu Ayyash', 'Ayyash', 'Doha', 'Ayyash', 'J. T.', 'A. H.', 'Adnan Hijazi', 'Hijazi', 'M. M. One', 'Martha Mason', 'Mounir Mzoudi', 'Mzoudi', 'Mzoudi', 'Walter Smith', 'Harrah', 'Fielder Rd', 'Saeed al Nami', 'Riyad al Taifi', 'Ruth Tucker', 'A. Doman', 'Clifton NJ', 'Shakur', 'Shakur', 'Ahmed Doha', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'Shakur', 'al Shibh', ""al Shibh's"", 'Adnan Hijazi', 'Jamal al Shibh', 'Muhammed Dandani', 'Dandani', 'Abdul al Nami', 'Saeed al Nami', 'Riyad al Taifi', 'Stockton', 'Aryan Militia', 'Billy Jack Hawkins', 'Slade Goodman', 'Abdul al Nami', 'al Nami', 'Imad Dahdah', 'Baker', 'Raeed Beandali', 'Beandali', 'Reginald Cooper', 'Cooper', 'Mum', 'Ralph Bean', 'Reginald Cooper', 'Mahmud al-Dahab', 'Ralph Bean', 'al Dahab', 'a Ralph Bean', 'Heathrow', 'Rifai Qasim', 'Omar', 'Qasim', 'Muhammed Mustafa', 'Abdul al Nami', 'Hayes Ave', 'Hayes Ave', 'Howard Clark', 'Clark', 'Adnan Hijazi', 'Khalid Shamrani', 'Billy Jack Hawkins', 'Slade Goodman', 'Shamrani', 'Walter Smith', 'al Quso', 'Abdul Nasser', 'Ali al-Omari', 'Adnan Hijazi', 'Hijazi', 'Pieter Dopple', 'Hoveniersstraat', 'Adnan Hijazi', 'Hijazi', 'Ramundo Ortiz', 'Ortiz', 'Adnan Hijazi', 'Satam', 'Ronald] Derwish', 'Abdul al Nami', 'Rifai Qasim', 'Raeed Beandali', 'Ralph', ""al Nami's"", 'al Nami', 'Khalid Shamrani', 'Shamrani', 'Shamrani', 'Shamrani', 'Shamrani', 'Ronald] Derwish', 'Abdul', 'Abdul al Nami', 'Abdul', 'Ali', 'Abdul Karim', 'Adnan Hijazi', 'Hijazi', 'Wali Shakur', 'CLifton', 'Hamza al Midhar', 'Pitkin Ave', 'Mounir Mzoudi', 'Mamoun Zammar', 'Charles Ave', 'Said Khadr', 'Broward Blvd', 'Muhammed Dandani', 'Hijazi', 'Karim', 'Hijazi', 'Abdul al Nami', 'al Nami', 'Satam', 'Ronald] Derwish', 'al Nami', 'Khaled Jehani', 'al Nami', 'al Nami', 'al Nami', 'al Nami', 'al Nami', 'Ramon', 'Juan', 'Ciudad Madero', 'Ciudad Acuna', 'Said Khadr', 'Muhammed Dandani', 'Khadr', 'Dandani', 'Wali Shakur', 'Hamza al Midhar', 'Mounir Mzoudi', 'Mamoun Zammar', 'Baltimore']","['Paris', 'Zinedine', 'Paris', 'Montreal', 'Canada', 'Montreal', 'Montreal', 'Montreal', 'Schiller Park', 'Buffalo', 'NY', 'UK', 'London', 'London', 'Northumberland Circle', 'East Bedfont', 'London', 'Canada', 'USA', 'Nassau', 'Bahamas', 'Montreal', 'Miami Beach', 'Camden', 'Nassau', 'Bahamas', 'Culver City', 'Bafaba', 'Culver City', 'Newark', 'Illinois', 'Chicago', 'Chicago', 'Houston', 'Texas', 'Charlotte', 'NC', 'Charlotte', 'Charlotte', 'Charlotte', 'Charlotte', 'NC', 'Dubai', 'UAE', 'London', 'Chicago', 'USA', 'Chicago', 'Chicago', 'Murad', 'Texas', 'Paris', 'Rue Cardinet', 'Paris', 'Toronto', 'Afghanistan', 'NY', 'Herndon', 'VA', 'Northern Virginia', 'USA', 'Windsor', 'Canada', 'Detroit', 'Virginia', 'Roanoke', 'VA', 'Detroit', 'Newark', 'Laurel', 'USA', 'Houston', 'Texas', 'Denton', 'Texas', 'Mineral Wells', 'Texas', 'Bellaire', 'Texas', 'Houston', 'Zioni', 'US', 'Houston', 'Chicago', 'Columbia', 'MO', 'Doha', 'Ayyash', 'Doha', 'Doha', 'Doha', 'the Mid States', 'Doha', 'Mid States', 'Doha', 'Doha', 'Columbia', 'USA', 'Wali Shakur', 'Clifton', 'Columbia', 'MO', 'Doha', 'Detroit', 'Newark', 'Laurel', 'MD', 'Detroit', 'Newark', 'Laurel', 'MD', 'Laurel', 'MD', 'Baltimore', 'North America', 'Baltimore', 'Kansas City', 'Missouri', 'Kansas City Area', 'Jamal al Quso', 'Chicago', 'Kansas City', 'Kansas City', 'the Isle of Capri Casino', 'Arlington', 'Texas', 'Arlington', 'Grand Prairie', 'Texas', 'Texas', 'USA', 'Mexico', 'Presidio', 'Texas', 'Mexico', 'Central America', 'Columbia', 'Dallas', 'Arlington', 'Columbia', 'MO', 'Wali Shakur', 'New Brunswick', 'Pakistan', 'Beirut', 'Lebanon', 'USA', 'Abu Ayyash', 'Doha', 'Doha', 'Miami', 'Florida', 'America', 'Miami', 'America', 'Miami', 'America', 'Miami', 'Madrid', 'Spain', 'Cairo', 'Egypt', 'Paris', 'France', 'Miami Beach', 'Detroit', 'Detroit', 'USA', 'Arlington', 'Texas', 'Buenos Aires', 'Argentina', 'Buenos Aires', 'Buenos Aires', 'Calamar', 'Columbia', 'USA', 'USA', 'Calamar', 'Cartagena', 'Columbia', 'Guane', 'Cuba', 'Guane', 'Cuba', 'Chetumal', 'Mexico', 'Mexico City', 'Ojinaga', 'Presidio', 'Texas', 'Ojinaga', 'Texas', 'U.S.', 'San Antonio', 'Dallas', 'Grand Prairie', 'Texas', 'Texas', 'Euless', 'Texas', 'Houston', 'Texas', 'USA', 'Saudi Arabia', 'Ann Arbor', 'U.S.', 'Detroit', 'Riyadh', 'Nassau', 'Bahamas', 'Dahdah', 'Syria', 'UK', 'Afghanistan', 'UK', 'Bahamas', 'Tampa', 'Middle Eastern Charities', 'Afghanistan', 'London', 'London', 'London', 'London', 'London', 'NC', 'River Rouge Park', 'Detroit', 'Detroit', 'Detroit', 'Detroit', 'Madrid', 'Cairo', 'Cairo', 'Cairo', 'Paris', 'France', 'Paris', 'Texas', 'Middle Easterner', 'Houston', 'Houston', 'Kansas City', 'Carrizo Springs', 'Newark', 'Antwerp', 'Belgium', 'Africa', 'Panama City', 'Panama', 'Peshawar', 'Pakistan', 'SCADA', 'U.S.', 'SCADA', 'SCADA', 'SCADA', 'Reston', 'VA', 'Detroit', 'Windsor', 'Ontario', 'Detroit', 'Canada', 'Bellaire', 'Texas', 'Saudi Arabia', 'USA', 'Bellaire', 'Texas', 'Houston', 'Satam', 'Windsor', 'Ontario', 'Windsor', 'Windsor', 'Marrakech', 'Morocco', 'Detroit', 'Detroit', 'Reston VA', 'Karim', 'Karim', 'Karim', 'Karim', 'Hijazi', 'Karim', 'Brooklyn', 'NY', 'St. Laurel', 'MD', 'Potomac', 'MD', 'Fort Lauderdale', 'St.', 'Miami Beach', 'Karim', 'Detroit', 'Detroit', 'Windsor, Ontario', 'Detroit', 'Marrakech', 'Morocco', 'Houston', 'Texas', 'Victoria', 'Cartagena', 'Columbia', 'Guane', 'Cuba', 'Chetumal', 'Mexico', 'Mexico', 'Victoria', 'Houston', 'USA', 'Cartagena', 'Columbia', 'Guane', 'Cuba', 'Mexico', 'Mexico', 'Victoria', 'US', 'Plum Island', 'Long Island', 'Plum Island', 'Plum Island', 'Plum Island', 'Middle Eastern', 'Miami', 'Nassau', 'Bahamas', 'Nassau', 'Miami', 'Miami', 'Nassau', 'Nassau', 'Miami', 'U.S.', 'New York City', 'Baltimore', 'MD', 'NYC', 'NYC', 'Nassau', 'NYC', 'Nassau', 'NYC', 'Nassau', 'Baltimore', 'Baltimore', 'Baltimore']","['2 April, 2003', '17 April', '1 April, 2003', '2 April, 2003', '2 April, 2003', '6 April, 2003', '1 May, 2003', 'the past six years', '1712', '29 June', '2003', '2211', '27 September, 2003', '2 October, 2003', '27 April', '1 October, 2003', '23 October, 2003', '3131', '1999', '16 May, 2003', 'July 18, 1999', '28 September, 2003', '2211', 'tomorrow', '1 November, 2003', '1712', '1 November, 2003', '2002', '10 August, 2001', 'April, 2000', '12 March, 2003', '16 June, 2003', 'the next year', 'July, 2001', '10 October, 2003', '12 September, 2003', '1 November, 2003', '12th', '20 November, 2003', '3 November, 2003', 'today', '21 January, 2002', '1994', '2116 27th', 'June 20 to July 2, 2000', '2111', '22 December, 2003', '26 December, 2003 two', '2727', 'three months', '27 November, 2003', '1970', '1965', 'two years', '1990', '1993', '3 November, 2003', '2001', '2 January, 2004', 'the past ten years', '2 February, 2004', 'the last three months', '2003', 'December, 2003', '5 March', 'seven years', 'ten years', '1969', '26 December, 2003', '2 January, 2004', 'January of 2001', 'April of 2002', 'May, 2002', 'January, 2003', '2727', '1212', '8, March', '2004', '1994', 'MA 1996', '1997', '1999', 'April of 2000', ""six-months'"", 'January, 2001', '1964', '1994', '1998', '1999 - 2000', 'March of 2000', 'June of 2000', '15 Feb. 2003', '12 December, 2002', '10 February, 2004', 'about 15 years', '16 March, 2004', '25 October,', '2003', 'four weeks', '23 October, 2003', '1997', '1997', '15 December, 2003', 'March, 2004', '15 May, 2004', '20 May, 2004', 'just a few days earlier', 'two months', 'December, 2003', 'three-day', 'December, 2003', 'January, 2004', 'daily', '20 November, 2003', 'at least several months', '3 August, 2004', '11 August, 2004', 'the period 20 August to 18 September, 2004', '1 September', '12 July, 2004', '25 September', '14 September, 2004', '1721', '11 October, 2004', 'week', '20 October, 2004', 'nearly a month', '18 September, 2004', 'month', 'the past month', '3236', '4618', '15 October, 2004', 'the next day', '25 October', '1 July, 2003', '5 March', '2004', '18 July, 2004', '29 October, 2004', '1721', '1991', '14 September, 2004', '1641', '2116', '1621', '6132', '17 September, 2004', '1999', '2001', '27 October, 2004', '5 March', '2004', '1 December, 2004', '3 December, 2004', '6 December, 2004', '1 December, 2004', '29 November, 2004', 'just a month', '15 November, 2004', '21 November, 2004', '13 December, 2004', '19 December, 2004', '20 September, 2004', '13 December, 2004', '20 September, 2004', '14 November, 2004', '21 November, 2004', '12 December, 2004', '19 December, 2004', '18 December, 2004', '21 September, 2004', '7 November, 2004', '14 November, 2004', '12 December, 2004', '19 December, 2004', '17 December, 2004']","['CIA', 'Mehdi Rafiki', 'Abu Hafs', 'the Canadauto Car Rental Agency', 'Walden Ave', 'the Heston Service Area', 'the Baker St. Mosque', 'St. Clare St.', 'FL', 'NJ', 'Apple St.', 'CIA', 'Flaxton St.', 'the CalNational Bank', 'BMI', 'NJ', 'Drexel Car Rental Agency', 'Drexel', 'Central States Airline', 'Mehdi Rafiki', 'Hezbollah', 'Charlotte NC', 'BailOut', 'the Carolina First Bank', 'the First Emirate Bank', 'The Carolina First Bank', 'Blakely', 'CIA', 'the Chicago FBI', 'a Jamal al Quso', 'Jamal al Quso', 'Islamic Jihad', 'Islamic Jihad', 'FBI', 'C-4', 'Semtex', 'Quso', 'RCMP', 'CDG', 'CSIS', 'Hamas', 'Roanoke', 'Salah', 'Al Qaeda', 'the TexEast Petroleum Co. Shamrani', 'FBI', '3236 Pine St.', 'the Houston Ship Channel', 'the Galleria Shopping Mall', 'Aryan Militia', 'the University of Missouri', 'Central Farmers Auto Insurance Co.', 'the Mid States Insurance Company', 'Central Farmers', 'Ayyash', ""Central Farmer's Insurance Company"", 'Central Farmers', 'the Columbia First State Bank', 'Dell', 'the Encyclopedia of Jihad', 'AOL', 'Paulson Ave', 'NJ', 'Hamas', 'Al Qaeda', 'FBI', 'NJ', 'J.T.', 'FBI', 'FBI', 'Baltimore City College', 'FBI', 'ICNA', 'ICNA', 'Taliban', 'Troost Ave', 'FBI', 'RDX', 'the Argosy Riverside Casino', 'the FirstTex Bank', 'the University of Texas', 'FBI', 'Paulson Ave', 'NJ', 'Shakur attended', 'Rutgers University', 'the American University', 'the University of Missouri', 'Western Union', 'FBI', 'the University of Miami', 'Coral Gables', 'the University of Miami', 'DIA', 'FBI', 'Detroit Utilities Co.', 'the USA of Saudi', 'FBI', 'the Detroit Utilities Co.', 'FBI', 'the University of Michigan', 'the Detroit Utilities Co.', 'the Detroit Utilities Co', 'Al Qaeda', 'the Gulf Shores Bank', 'Al Qaeda', 'CIA', 'Hackney', 'Detroit MI', 'BailOut', 'Charlotte NC', 'FBI', 'Qasim/', 'FBI', 'the Carolina First Bank', 'Toyota', 'Toyota', 'FBI', 'DIA', 'Neighbors', 'Ramses St.', 'Overseas Exports Inc', 'FBI', 'FBI', 'GAM', 'the Westerner Motel', 'FBI', 'TX', 'the Jersey National Bank', 'NJ', 'FBI', 'USCBP', 'Dopple', 'Dopple', 'Dopple', 'Dopple', 'Supervisory Control', 'Data Acquisition', 'the American Islamic Scholarship Fund', 'FBI', 'RCMP', 'Detroit Utilities Co.', 'Detroit Utilities', 'Aryan Militia', 'TexEast Petroleum Co.', 'Pine St.', 'StoreAll', 'C-4 and Semtex', 'StoreAll Rental', 'RentAll', 'Derwish', 'Canada Eastern Airlines', 'RCMP', 'DIA', 'Derwish', 'Derwish', 'the American Islamic Scholarship Fund', 'Fund', 'Karim', 'Paulson Ave', 'NJ', 'FL', 'FL', 'DIA', 'Detroit Utilities Co.', 'Gulfgate', 'TX', 'FARC', 'TX', 'Farmers Branch', 'TX', 'TX', 'FMD', 'FARC', 'the Majestic Lines', 'FBI', 'the Royal Norwegian Lines', 'the Sea Aire Lines', 'Royal Norwegian Lines']"
NSA_01,"['Bush', 'Rue Duhesme']","['Arabic', 'London', 'Paris', 'London', 'Paris', 'Texas']","['28 March', '2003']",[]
NSA_02,['Grootslagstraat'],"['Amsterdam', 'Montreal', 'Canada', 'Amsterdam', 'Amsterdam', 'Montreal', 'Chicago']","['25 April, 2003', '2211']",[]
NSA_03,[],"['Paris', 'Ojinaga', 'Mexico', 'Paris', 'Ojinaga']",[],['Rue De Civry']
NSA_04,['Abdul'],"['Marrakech', 'Morocco', 'Windsor, Ontario', 'Canada']","['15 July', '1 August, 2003']","['AOL', 'rder3']"
NSA_05,['Bugarov'],"['Moscow', 'Chitral', 'Pakistan', 'Casablanca']","['3 September, 2003', '22 October']",['the Central Russian Airlines']
NSA_06,"['Omar Hanif', 'Muslih Odeh']","['Nassau', 'Freeport', 'Bahamas', 'Nassau', 'Nassau', 'Karachi']","['5 September, 2003', '1789', 'last March']",['Apple St.']
NSA_07,[],"['Karachi', 'Pakistan', 'Panama City', 'Panama', 'Karachi', 'Panama City']",[],[]
NSA_08,[],"['Chitral', 'Pakistan', 'Casablanca', 'Morocco', 'Casablanca', 'Casablanca']","['25 September', 'the 20th', 'a few days', 'the 20th']",['the Holland Orange Shipping Lines']
NSA_09,[],"['Casablanca', 'Morocco', 'Domingo', 'Dominican Republic', 'Casablanca']","['23 October, 2003', '65']",['the Holland Orange Shipping Lines']
NSA_10,[],"['Paris', 'France', 'Windsor, Ontario', 'Canada', 'Paris', 'Windsor', 'Buffalo']","['15 December, 2003', 'the 28th']",[]
NSA_11,"['Boris Bugarov', 'Morales', 'Escalante']","['Chitral', 'Pakistan', 'Havana', 'Cuba', 'Havana']",['the end of the month'],['Plasencia St.']
NSA_12,"['Ojinaga', 'Jose', 'Carlos']","['Calamar', 'Columbia', 'Ojinaga', 'Mexico', 'Calamar']",['May first'],['the Los Palmas Hotel']
